date,country,send_interval,is_verified,is_unsubscribed,account_cnt,sent_msg,open_msg,visit_msg,total_country_account_cnt,total_country_sent_cnt,rank_total_country_account_cnt,rank_total_country_sent_cnt
2020-11-01,Canada,1,0,0,5,0,0,0,2067,37914,3,3
2020-11-01,Canada,1,1,0,8,0,0,0,2067,37914,3,3
2020-11-01,Canada,1,1,1,3,0,0,0,2067,37914,3,3
2020-11-01,Canada,1,1,1,0,2,2,0,2067,37914,3,3
2020-11-01,Canada,1,1,0,0,6,3,0,2067,37914,3,3
2020-11-02,Canada,1,0,0,7,0,0,0,2067,37914,3,3
2020-11-02,Canada,1,1,0,9,0,0,0,2067,37914,3,3
2020-11-02,Canada,1,1,1,4,0,0,0,2067,37914,3,3
2020-11-02,Canada,1,1,0,0,10,4,2,2067,37914,3,3
2020-11-02,Canada,1,1,1,0,2,0,0,2067,37914,3,3
2020-11-03,Canada,1,0,0,8,0,0,0,2067,37914,3,3
2020-11-03,Canada,1,1,0,19,0,0,0,2067,37914,3,3
2020-11-03,Canada,1,1,1,8,0,0,0,2067,37914,3,3
2020-11-03,Canada,1,1,1,0,11,8,1,2067,37914,3,3
2020-11-03,Canada,1,1,0,0,29,9,2,2067,37914,3,3
2020-11-03,Canada,1,0,0,0,3,0,0,2067,37914,3,3
2020-11-04,Canada,1,0,0,5,0,0,0,2067,37914,3,3
2020-11-04,Canada,1,1,0,11,0,0,0,2067,37914,3,3
2020-11-04,Canada,1,0,1,2,0,0,0,2067,37914,3,3
2020-11-04,Canada,1,1,1,2,0,0,0,2067,37914,3,3
2020-11-04,Canada,1,1,1,0,10,8,0,2067,37914,3,3
2020-11-04,Canada,1,1,0,0,39,9,2,2067,37914,3,3
2020-11-04,Canada,1,0,0,0,2,0,0,2067,37914,3,3
2020-11-04,Canada,1,0,1,0,1,0,0,2067,37914,3,3
2020-11-05,Canada,1,0,0,6,0,0,0,2067,37914,3,3
2020-11-05,Canada,1,1,0,8,0,0,0,2067,37914,3,3
2020-11-05,Canada,1,0,1,1,0,0,0,2067,37914,3,3
2020-11-05,Canada,1,1,1,2,0,0,0,2067,37914,3,3
2020-11-05,Canada,1,1,0,0,46,13,3,2067,37914,3,3
2020-11-05,Canada,1,1,1,0,8,5,1,2067,37914,3,3
2020-11-05,Canada,1,0,0,0,3,0,0,2067,37914,3,3
2020-11-06,Canada,1,0,0,7,0,0,0,2067,37914,3,3
2020-11-06,Canada,1,1,0,16,0,0,0,2067,37914,3,3
2020-11-06,Canada,1,1,1,3,0,0,0,2067,37914,3,3
2020-11-06,Canada,1,1,0,0,56,16,5,2067,37914,3,3
2020-11-06,Canada,1,1,1,0,15,9,1,2067,37914,3,3
2020-11-06,Canada,1,0,0,0,7,1,0,2067,37914,3,3
2020-11-07,Canada,1,0,0,6,0,0,0,2067,37914,3,3
2020-11-07,Canada,1,1,0,7,0,0,0,2067,37914,3,3
2020-11-07,Canada,1,1,1,4,0,0,0,2067,37914,3,3
2020-11-07,Canada,1,1,0,0,67,17,3,2067,37914,3,3
2020-11-07,Canada,1,1,1,0,10,8,1,2067,37914,3,3
2020-11-07,Canada,1,0,1,0,1,0,0,2067,37914,3,3
2020-11-07,Canada,1,0,0,0,1,0,0,2067,37914,3,3
2020-11-08,Canada,1,0,0,5,0,0,0,2067,37914,3,3
2020-11-08,Canada,1,1,0,11,0,0,0,2067,37914,3,3
2020-11-08,Canada,1,0,1,1,0,0,0,2067,37914,3,3
2020-11-08,Canada,1,1,1,4,0,0,0,2067,37914,3,3
2020-11-08,Canada,1,1,1,0,16,13,1,2067,37914,3,3
2020-11-08,Canada,1,1,0,0,82,32,6,2067,37914,3,3
2020-11-08,Canada,1,0,0,0,4,0,0,2067,37914,3,3
2020-11-08,Canada,1,0,1,0,1,0,0,2067,37914,3,3
2020-11-09,Canada,1,0,0,4,0,0,0,2067,37914,3,3
2020-11-09,Canada,1,1,0,14,0,0,0,2067,37914,3,3
2020-11-09,Canada,1,1,1,4,0,0,0,2067,37914,3,3
2020-11-09,Canada,1,1,0,0,78,12,1,2067,37914,3,3
2020-11-09,Canada,1,1,1,0,9,6,0,2067,37914,3,3
2020-11-09,Canada,1,0,0,0,3,1,0,2067,37914,3,3
2020-11-10,Canada,1,0,0,2,0,0,0,2067,37914,3,3
2020-11-10,Canada,1,1,0,12,0,0,0,2067,37914,3,3
2020-11-10,Canada,1,1,1,1,0,0,0,2067,37914,3,3
2020-11-10,Canada,1,1,0,0,93,23,2,2067,37914,3,3
2020-11-10,Canada,1,1,1,0,9,7,0,2067,37914,3,3
2020-11-10,Canada,1,0,1,0,1,0,0,2067,37914,3,3
2020-11-11,Canada,1,0,0,14,0,0,0,2067,37914,3,3
2020-11-11,Canada,1,1,0,9,0,0,0,2067,37914,3,3
2020-11-11,Canada,7,1,1,1,0,0,0,2067,37914,3,3
2020-11-11,Canada,1,1,1,2,0,0,0,2067,37914,3,3
2020-11-11,Canada,1,1,0,0,100,25,6,2067,37914,3,3
2020-11-11,Canada,1,1,1,0,7,6,0,2067,37914,3,3
2020-11-11,Canada,1,0,0,0,4,0,0,2067,37914,3,3
2020-11-12,Canada,1,0,0,3,0,0,0,2067,37914,3,3
2020-11-12,Canada,1,1,0,17,0,0,0,2067,37914,3,3
2020-11-12,Canada,1,0,1,2,0,0,0,2067,37914,3,3
2020-11-12,Canada,1,1,1,3,0,0,0,2067,37914,3,3
2020-11-12,Canada,1,1,0,0,120,38,2,2067,37914,3,3
2020-11-12,Canada,1,1,1,0,6,6,0,2067,37914,3,3
2020-11-12,Canada,1,0,1,0,2,1,0,2067,37914,3,3
2020-11-13,Canada,1,0,0,6,0,0,0,2067,37914,3,3
2020-11-13,Canada,1,1,0,12,0,0,0,2067,37914,3,3
2020-11-13,Canada,1,0,1,1,0,0,0,2067,37914,3,3
2020-11-13,Canada,1,1,1,1,0,0,0,2067,37914,3,3
